City,Zip Code,Population,Precipation,Temperature,Air Quality,Population Density,Land Type,Latitude,Longitude
Acton,93510,7626,24.93,58,38,221,Rural,34.4835,-118.1959
Agoura Hills,91301,25631,19.6,64.1,42,2600,Suburban,34.1227,-118.7573
Alhambra,91801,54479,23.24,66,57,12700,Urban,34.0914,-118.1293
Altadena,91001,37711,25.19,62,45,4700,Suburban,34.1912,-118.1392
Arcadia,91007,34523,25.19,63.5,50,6300,Suburban,34.1243,-118.0515
Artesia,90701,16535,18,64,52,9800,Suburban,33.8654,-118.0731
Avalon,90704,3795,18,60,40,3800,Urban,33.332,-118.3437
Azusa,91702,49215,23,65,55,6600,Suburban,34.1248,-117.9031
Baldwin Park,91706,76571,23,64.5,60,15500,Urban,34.0964,-117.9682
Bell,90201,103892,23,65,58,21500,Urban,33.9653,-118.1515
Bell Gardens,90201,103892,23,65,59,17000,Urban,33.9653,-118.1515
Bellflower,90706,77772,23,64,55,13400,Suburban,33.8867,-118.1265
Beverly Hills,90210,21746,23,63,47,5800,Urban,34.0901,-118.4065
Burbank,91505,31107,23.24,64,53,6000,Urban,34.169,-118.3442
Calabasas,91302,24091,23,64.5,45,1700,Suburban,34.1419,-118.6641
Carson,90745,58014,23,65,56,4900,Suburban,33.823,-118.2684
Cerritos,90703,50004,23,64,52,5600,Suburban,33.8669,-118.0686
Claremont,91711,36015,23,63.5,47,3500,Suburban,34.1092,-117.7183
Commerce,90040,13060,23,65,58,1600,Urban,33.9909,-118.1532
Compton,90220,93271,23,65,60,9900,Urban,33.8748,-118.2402
Covina,91722,48245,23,63.5,53,7600,Suburban,34.0972,-117.9065
Cudahy,90201,103892,23,65,59,23800,Urban,33.9653,-118.1515
Culver City,90230,31766,23,64,50,7700,Urban,33.9949,-118.3991
Diamond Bar,91765,47017,23,63.5,52,4100,Suburban,34.0066,-117.8098
Downey,90242,44094,23,64.5,56,9200,Urban,33.9218,-118.1395
Duarte,91010,25057,23,63.5,54,4500,Suburban,34.1407,-117.9567
El Monte,91731,30403,23,64,55,11900,Urban,34.0791,-118.0371
El Segundo,90245,17063,23,64,45,3200,Suburban,33.9243,-118.4119
Encino,91436,14372,23,64,51,4400,Urban,34.151,-118.4882
Gardena,90249,29016,23,65,58,10000,Urban,33.8998,-118.3199
Glendale,91206,32426,23,64,54,7300,Urban,34.1556,-118.2322
Glendora,91741,26756,23,63.5,55,4300,Suburban,34.1537,-117.8437
Granada Hills,91344,53998,23,64,51,3300,Suburban,34.2771,-118.4992
Hacienda Heights,91745,54039,22.8,63,53,5400,Suburban,33.9977,-117.9652
Hawaiian Gardens,90716,14465,22,64.5,54,13500,Suburban,33.8296,-118.073
Hawthorne,90250,93193,22.5,64.5,55,14000,Urban,33.9143,-118.3493
Hermosa Beach,90254,19506,21,63,46,13700,Suburban,33.8643,-118.3955
Huntington Park,90255,75812,23,65,57,20400,Urban,33.9769,-118.2161
Inglewood,90301,37429,22.5,64.5,56,12100,Urban,33.955,-118.3556
La Canada Flintridge,91011,20584,24.5,62.5,47,2300,Suburban,34.2217,-118.2051
La Crescenta,91214,31578,24.5,62.5,46,5600,Suburban,34.2316,-118.2457
La Mirada,90638,49133,22,64,54,5300,Suburban,33.9067,-118.0101
La Puente,91744,87961,22.8,63,55,12200,Suburban,34.0289,-117.9373
La Verne,91750,33695,23.5,63,54,3700,Suburban,34.1159,-117.7708
Lakewood,90712,32600,22,64,52,8900,Suburban,33.8512,-118.1457
Lancaster,93535,72046,11.7,60,45,1600,Suburban,34.7131,-117.8783
Lawndale,90260,33078,22,64.5,55,15300,Urban,33.8879,-118.351
Lomita,90717,20768,22,64.5,54,10300,Suburban,33.7938,-118.3172
Long Beach,90805,91474,23.8,63.5,57,9700,Urban,33.8635,-118.1801
Los Angeles,90011,103892,25.2,64.5,65,8500,Urban,34.0079,-118.2582
Lynwood,90262,69772,22,64.5,57,13000,Urban,33.9241,-118.2013
Malibu,90265,12645,23.5,62,40,700,Rural,34.0402,-118.7351
Manhattan Beach,90266,35924,21.5,63,27,9800,Suburban,33.8896,-118.3996
Marina del Rey,90292,21576,21.5,63.5,35,13500,Urban,33.9779,-118.4525
Maywood,90270,27395,23,65,60,24000,Urban,33.989,-118.1877
Monrovia,91016,41339,24,63,55,5600,Suburban,34.144,-118.0014
Montebello,90640,63495,23,65,58,12300,Urban,34.0133,-118.113
Monterey Park,91754,60268,23,65,57,7600,Urban,34.0534,-118.1271
Montrose,91020,8507,24.5,62.5,50,7900,Suburban,34.2114,-118.2305
North Hills,91343,60254,23,64,52,11000,Urban,34.2366,-118.4758
North Hollywood,91605,103689,23,64,53,14300,Urban,34.2057,-118.4001
Northridge,91325,33934,23,64,54,6800,Suburban,34.2353,-118.5188
Norwalk,90650,105549,22,64,56,10500,Suburban,33.9056,-118.0818
Pacific Palisades,90272,25507,23.5,62,34,898,Suburban,34.0481,-118.5265
Pacoima,91331,103689,23,64,58,13000,Urban,34.2556,-118.4208
